"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1009962","Poppy Boltz",63400,2000,5000,10400,15800,20100,2024,9,1
"CD_I1012989","Taylor Smith",92900,-400,900,6300,11600,15900,2024,9,1
"CD_I1016938","Ruby Svarc",72200,-3900,1500,6900,12200,16500,2024,9,1
"CD_I1019034","Orla O'Dwyer",139400,-1800,-4600,800,6200,10500,2024,9,1
"CD_I1019053","Cathy Svarc",149500,-2900,-6100,-700,4600,8900,2024,9,1
"CD_I1019057","Dakota Davidson",131600,-7700,-6400,-1000,4400,8700,2024,9,1
"CD_I1021441","Charlotte Mullins",91200,-1600,500,5900,11300,15600,2024,9,1
"CD_I1021530","Shanae Davison",86100,-15800,-5200,100,5500,9800,2024,9,1
"CD_I1033157","Jennifer Dunne",40000,3300,8100,13400,18800,23100,2024,9,1
"CD_I1007023","Breann Moody",173600,-6300,-10100,-4800,600,4900,2024,9,1
